.id,headline,description,source,date
91,"Droid Incredible 4G LTE review: Great sound, good price","The 4-in. HTC Droid Incredible 4G LTE, which hit Verizon Wireless shelves today, offers rich multimedia features and a fairly rare chance to ...",Computerworld,5 Jul 2012
91,HTC Droid Incredible 4G LTE review,"Now, the third iteration in the series has arrived with the Droid Incredible 4G LTE. It takes the basics of the previous two phones and updates ...",The Verge,5 Jul 2012
91,No 3G/4G for Google Glass,"The headset demonstrated at Google IO yesterday includes only WiFi and Bluetooth technologies, not 3G or 4G despite early rumors, with ...",SlashGear,28 Jun 2012
91,HTC DROID Incredible 4G LTE: Specifications,"The Incredible 4G LTE has the worst build quality I have ever ... And, of course, you get Verizon's 4G, which has the most coverage of any LTE ...",Android Police,9 Jul 2012
91,Verizon Wireless Galaxy Nexus is a Wi-Fi tethering lemon,"You see, right now I'm in-between homes and living in temporary housing, so I have been forced to rely on my Verizon 4G LTE service to get ...",ZDNet,8 Jul 2012
91,Verizon launching the HTC Droid Incredible 4G LTE on July 5th for ...,"It's been months since Verizon and HTC first showed off the Droid Incredible 4G LTE, the slightly less exciting take on HTC's One series — but ...",The Verge,2 Jul 2012
91,"Optical transport for cell backhaul: SONET, Carrier Ethernet, and cell ...","With the advent of LTE/4G technology, our communication industry frequently hears and sees that copper T1 service to cell tower sites is ...",LightWave Online (press release),2 Jul 2012
91,"T-Mobile Announces Back-To-School Promotions, Samsung 4G ...",Buy-One-Get-One (BOGO) Samsung Galaxy 4G promotion: offers customers who purchase any Samsung Galaxy 4G device a second select ...,TmoNews,10 Jul 2012
91,Qualcomm Snapdragaon S4 Mobile Processors To Be ...,Qualcomm's Snapdragon S4 mobile processors are so popular inside 4G LTE-based devices that the company has been forced to find a ...,The Inquisitr,4 Jul 2012
91,BMW taps Nuance for in-car speech recognition,It has joined Verizon's 4G Venture Forum for Connected Cars so BMWs equipped with LTE radios on U.S. 4G bands will likely emerge soon.,GigaOM,9 Jul 2012
92,"Wireless Alphabet Soup Explained: What Is 4G, 3G, LTE, & More ...","When it comes to wireless service and our smartphones, there's no shortage of acronyms – GPRS, EDGE, 3G, 4G, and LTE all exist to make our ...",MakeUseOf,16 Jul 2012
92,Sprint launches 4G LTE in 15 cities,"Sprint announced Monday it had launched its 4G LTE network in 15 cities, mainly in areas surrounding the major markets of Atlanta, Dallas, ...",Computerworld,16 Jul 2012
92,"In India, Dreaming of A 4G World","The memo, which has been reviewed by The Wall Street Journal, described a fourth-generation, or 4G, wireless service with ""99.999%"" ...",Wall Street Journal (India),24 Jul 2012
92,Ofcom says 4G will arrive in the UK by late 2013,"UK TELECOMS REGULATOR Ofcom has revealed that the auction of 4G spectrum will take place by the end of the year, with 4G internet ...",Inquirer,24 Jul 2012
92,AT&T to Restrict or Charge for FaceTime Over 3G/4G in iOS 6 ...,"As noted in our ongoing iOS 6 Beta 3 discussion thread, it appears that AT&T will be restricting and possibly charging for the new ...",Mac Rumors,16 Jul 2012
92,"Gate of Reincarnations: Chapter Thirty-Six, Section 4g","Likewise, in regards to Abaye and Rav Bibi his son, my teacher taught me that regarding the verse, ""Behold Tziyon, the city of mo'adainu [our festivals] - your ...",Chabad.org,22 Jul 2012
92,HTC releases kernel source for EVO 4G LTE,"If you've got an EVO 4G LTE and you're either a dev or a user who loves flashing ROMs, then it's time to throw your hands in the air. HTC has ...",AndroidGuys,13 Jul 2012
92,Samsung Epic 4G Touch on Sprint and Galaxy S II on US Cellular ...,"The Android 4.0 OTA updates for Galaxy S II-class devices continue to roll out. The latest to get them are Sprint's version, the Epic 4G Touch, ...",The Verge,12 Jul 2012
92,Sprint Officially Announces The HTC EVO 4G LTE In White ...,"Sprint hasn't been the most secretive about the white version of its EVO 4G LTE, as we've already seen. More than once. Now, though, The ...",Android Police,12 Jul 2012
92,Devicescape combines data monitor with Wi-Fi access for Androids,"What used to be called DataBooster now goes by the name DataSaver, and the free software helps users manage their 3G and 4G data usage, ...",GigaOM,12 Jul 2012
93,BlackBerry announces new ultra fast 4G LTE PlayBook Tablet,"""It enables customers to easily access information on-the-go, with the choice of either using WiFi connectivity or 4G LTE connectivity ...",TechRadar UK,2 Aug 2012
93,FreedomPop turns your iPod Touch into an iPhone with free 4G,"FreedomPop, the startup that aims to offer free 4G service across a variety of devices, hopes to make the iPod Touch even more useful with its ...",VentureBeat,31 Jul 2012
93,Why Don't Cell Phones Work At Music Festivals?,"That spectrum is locked into the 4G LTE network and can't be repurposed on the fly. And, really, your phone has no radio that allows for a ...",Forbes,31 Jul 2012
93,Sprint's 4G LTE network goes live ahead of schedule in Bay Area,"After miserably failing with its WiMax-based 4G network which proved to be demonstrably slower than Verizon and AT&T's LTE, Sprint seems to ...",Android Authority,7 Aug 2012
93,How AT&T can create a fat nationwide 4G pipe to match Verizon's,It never managed to piece together the licenses to form a consistent nationwide 4G band like that owned by archrival Verizon(s vz)(s vod).,GigaOM,3 Aug 2012
93,"Fido hops on the LTE bandwagon, gives Canadians frugal 4G this ...","Rogers was the first with LTE in Canada. Its budget brand Fido has largely been left out of that 4G fiesta, but the gap is closing today with official ...",Engadget,27 Jul 2012
93,Sprint Announces The Motorola Photon Q 4G LTE With A Full ...,"“Motorola PHOTON Q will be the first 4G LTE device with a QWERTY keyboard and world phone capabilities to join the Sprint line-up,” said ...",Android Police,26 Jul 2012
93,"MetroPCS lights up Voice over LTE (VoLTE) services, starts selling ...","The Android-powered LG Connect 4G is the outfit's first (and only, for now) VoLTE-capable phone, but the operator's promising more rollouts ...",Engadget,7 Aug 2012
93,Pantech Star Q slider heads to Verizon with 4G LTE,While nothing is official yet the image below seemingly confirms the new Pantech Star Q 4G LTE for Verizon Wireless. Being Pantech's second ...,Android Community,27 Jul 2012
93,Customers Will Soon Have Access To Verizon Wireless 4G LTE ...,"6, 2012 /PRNewswire/ -- Verizon Wireless customers will be able to experience the speed and capabilities offered by its 4G Long Term ...",PR Newswire (press release),6 Aug 2012
94,BlackBerry PlayBook 4G LTE hands-on,"A year and a half later, we finally have an LTE version, and with a faster 1.5GHz processor to boot. But do 4G data and a processor bump make ...",Engadget,9 Aug 2012
94,Samsung Galaxy Tab 2 7.0 packing 4G LTE comes to Verizon on ...,The carrier just revealed plans to offer up a 4G-equipped (and previously hinted) version of Samsung's Galaxy Tab 2 7.0 starting on August ...,Engadget,15 Aug 2012
94,Motorola Photon Q 4G LTE review: the best full QWERTY phone on ...,"As you'd expect, it's a follow-up to last year's Photon 4G that trades WiMAX for LTE and adds a full-sized QWERTY keyboard. What the name ...",Engadget,21 Aug 2012
94,"LG Motion 4G arrives at MetroPCS with LTE, lower cost unlimited plan","MetroPCS is adding the LG Motion 4G smartphone to its stables today. Spotted in a leak last month, the phone is the carrier's first smartphone ...",The Verge,21 Aug 2012
94,3G vs. 4G: AT&T's 'sunset' fuels debate,"Boiling down the argument to its simplest terms, this much is clear: Technology touted as 4G is faster and more expensive. But is that extra ...",Security Systems News (blog),15 Aug 2012
94,Smart Communications' new 4G LTE launch details slip out in ...,"This time, it's all about the Gs as select locations in Metro Manila are apparently in line to get high-speed wireless coverage via a new 4G LTE ...",Engadget,17 Aug 2012
94,AT&T to provide free FaceTime service over cellular for data sharing ...,"Offering FaceTime over 3G and 4G to those users only is kind of sucky, frankly. Sprint has already said it won't charge for the feature and ...",The Next Web,17 Aug 2012
94,Motorola PHOTON Q 4G LTE hands-on and unboxing,"Meet the latest 4G LTE smartphone to hit the market. while it's carrier might not have 4G LTE in too many cities yet, the phone is ready to go so ...",Android Community,17 Aug 2012
94,LG Optimus G leaked as quad-core 4G LTE powerhouse,"According to reports this Optimus G will not just sport 4G LTE, but will be a powerful quad-core device that also supports VoLTE (Voice-over 4G ...",Android Community,21 Aug 2012
94,LG Motion 4G for MetroPCS hands-on (video),"Enter the economical 3.5-incher LG Motion 4G. Unlike the aforementioned offering from Samsung, however, the wallet-friendly network's now ...",Engadget,21 Aug 2012
95,The Case for LTE: 4 Reasons Why You Need 4G,"But most of these people have probably never used an LTE device. Depending on where you live and how you use your smartphone, 4G/LTE ...",CIO,4 Sep 2012
95,4.3-inch Droid RAZR M 4G LTE revealed ahead of Motorola's ...,"Just over a week before Motorola and Verizon's big September 5th event in New York, detailed pictures and specs for what appears to be a ...",The Verge,28 Aug 2012
95,UK's 4G race begins: 3M LTE connections projected in 2 years,"There may not be a lick of 4G in the UK today, but now that mega-carrier Everything Everywhere has the go ahead to launch LTE, connections ...",GigaOM,30 Aug 2012
95,Motorola Photon Q 4G LTE review,"Most phone manufacturers have firmly decided the on-screen keyboard is the future. A few companies, like Pantech and Samsung, still make ...",The Verge,31 Aug 2012
95,Exclusive: Motorola Droid RAZR M 4G LTE gets hands-on treatment ...,"There's no stopping the torrential downpour of information coming out about the Motorola Droid RAZR M 4G LTE (codenamed Scorpion Mini), ...",Engadget,30 Aug 2012
95,Everything Everywhere to bring 4G to UK,I'll admit to being annoyed when Ofcom released the news that the 4G auction in the UK wouldn't even start until later this year and it would ...,Android Authority,23 Aug 2012
95,Samsung Galaxy S III quad-core 4G LTE hands-on,What you'll see below is an exclusive plum colored quad-core Galaxy S III with 4G LTE from the folks at Vodafone. What's even better is this ...,Android Community,2 Sep 2012
95,Motorola Droid RAZR M 4G LTE spotted in white trim,"We've had the chance to take a good, hard look at the Motorola Droid RAZR M 4G LTE (aka XT907) bathed in the standard black color option, ...",Engadget,29 Aug 2012
95,LG Intuition with Verizon 4G LTE gets official: $200 on contract ...,"The phone, which is essentially the Optimus Vu with the carrier's 4G LTE connectivity thrown in, will be available for $200 on contract on ...",Engadget,4 Sep 2012
95,Verizon Samsung Galaxy Tab 2 7.0 4G LTE hands-on,"Earlier this month Verizon announced that they'd be adding another 4G LTE tablet to their ever growing lineup, and today we have it in for a ...",Android Community,23 Aug 2012
96,The iPhone 5's limited UK 4G LTE support set to freeze out ...,"Apple's iPhone 5 is official, initially bringing its 4G connectivity to nine countries on September 21. In the UK, mobile operator EE has already ...",The Next Web,12 Sep 2012
96,Apple's iPhone 5 puts Europe in 4G slow lane,"The iPhone 5 is not compatible with 4G services on the 800MHz and 2.6GHz bands deployed across much of western Europe, including Spain, ...",Reuters,14 Sep 2012
96,EarthLink inks deal with Clearwire to use its 4G WiMAX network,"EarthLink has been laying low since its Philly-wide WiFi project failed all those years ago, but now it's back in the limelight with Clearwire's 4G ...",Engadget,11 Sep 2012
96,Everything Everywhere announces the UK's first major LTE service ...,"Finally, after gaining approval from UK regulator Ofcom, Everything Everywhere announced today that it's calling its incoming 4G service EE.",Engadget,11 Sep 2012
96,Amazon's Kindle Fire 4G bait and switch,By now you've probably heard about Amazon's(s amzn) revolutionary new mobile data pricing plans for the Kindle Fire HD 4G. Amazon is ...,GigaOM,6 Sep 2012
96,"AT&T expands 4G LTE coverage to 9 new markets, 44 more coming ...","AT&T on Thursday announced it has expanded its high-speed 4G long-term evolution coverage into 9 new areas of the U.S., with 44 more ...",Apple Insider,6 Sep 2012
96,"Apple's iPhone 5: A Thinner, Lighter, Taller 4G Phone","Apple announced the iPhone 5 on Wednesday, with a thinner and lighter design than previous models despite a larger 4-inch display and 4G ...",TIME,12 Sep 2012
96,Review: Motorola Photon Q 4G LTE,"And now Motorola has dropped the Photon Q 4G LTE, a keyboard-equipped Android phone, available exclusively to Sprint customers for $200 ...",Wired,7 Sep 2012
96,T-Mobile flips the switch on unlimited 4G data in the US,"T-Mobile has made good on their promise last month to deliver unlimited 4G data plans free of throttling, overage fees and bandwidth caps.",TechSpot,6 Sep 2012
96,Amazon announces Kindle Fire HD 4G LTE with $50 per year data ...,"At its Kindle event in Los Angeles, Amazon has just announced its high-end Kindle Fire HD 4G LTE tablet. Speaking at the event, Amazon's Jeff ...",Android Central,6 Sep 2012
97,iPhone 5 4G UK EE Speed Test,iPhone 5 4G UK EE Speed Test. EE is bringing 4G to the UK and one of the phones to bag the network is Apple's iPhone 5. Here we test the ...,YouTube,2 Oct 2012
97,"4G LTE could spur DDoS, mobile data theft",The rise of 4G LTE networks can bring about security incidents such as distributed denial-of-service (DDoS) attacks on corporate and home ...,ZDNet,2 Oct 2012
97,Etisalat completes highest 4G LTE speed test,"Abu Dhabi: Etisalat has announced the completion of the highest 4G LTE speed test in the world, reaching speeds of 300 Mbps.This is a ...",gulfnews.com,29 Sep 2012
97,"ZTE Anthem 4G unveiled for MetroPCS, has us singing a dual-core ...","Although ZTE is no stranger to the US, it hasn't been as quick to embrace LTE-based 4G as some of its rivals. The new Anthem 4G for ...",Engadget,20 Sep 2012
97,Sony Xperia TL joins AT&T's 4G LTE lineup as official James Bond ...,"Regardless, the company's latest smartphone flagship has found a new stateside home on AT&T's 4G LTE network. The 4.6-inch device, ...",Engadget,1 Oct 2012
97,US Army Building 4G Communication System for Wounded Warrior ...,"Battlefield medics and army docs are professional colleagues who work on the same patients, but usually in a different space and time. Medics ...",Medgadget.com,20 Sep 2012
97,EE LTE benchmarked: iPhone 5 gets super-fast in the UK,"UK 4G carrier EE has been flaunting its speeds again, and we couldn't resist stopping by to see how the iPhone 5 and other handsets perform ...",SlashGear,2 Oct 2012
97,T-Mobile-bound Galaxy Tab 2 10.1 spotted at FCC donning 4G radio,"After some digging, and with some help from Unwired View, said device may turn out to be the 4G variant of Samsung's Galaxy Tab 2 10.1.",Android Authority,26 Sep 2012
97,How to Turn Off 4G LTE on the iPhone 5,"The iPhone 5 ships with 4G LTE, a new faster data connection, but in addition to using up limited data plans faster, this new technology uses ...",Gotta Be Mobile,21 Sep 2012
97,"The HTC One X+ is now official: Android 4.1, Tegra 3 and LTE ...",The HTC One X+ is a smartphones we've been hearing rumors about for months. Today it finally becomes an official device. Here's what you ...,Android Authority,2 Oct 2012
98,"Wilson Electronics releases three 4G multi-band signal boosters, no ...","Even if you live in an area with 4G coverage, you might not get the best service inside certain buildings, and that's where companies like Wilson ...",Engadget,10 Oct 2012
98,"iPad to Be Updated with UK 4G LTE Support, iPad Mini to Be Wi-Fi ...","Apple's expected ""iPad mini"" will only come in a Wi-Fi version – but there will also be a revised version of the iPad with 4G connectivity ...",Mac Rumors,9 Oct 2012
